,g_L default,g_L,E_L default,E_L,C_m default,C_m
297,16.6667,98.17954815,-70,-61.99896379,250,144.1315
298,16.6667,32.0014432,-70,-62.56025374,250,64.4175
299,16.6667,61.73861826,-70,-62.56025374,250,64.4175
300,16.6667,92.57755251,-70,-76.51568941,250,103.9506
301,16.6667,214.6375496,-70,-64.31276729,250,109.8293
302,16.6667,61.04188071,-70,-62.92446589,250,118.7322
303,16.6667,14.60303392,-70,-62.92446589,250,118.7322
304,16.6667,163.2613921,-70,-65.58152638,250,118.2292
305,16.6667,29.32158503,-70,-63.17258776,250,82.6775
306,16.6667,122.4629179,-70,-73.07731367,250,109.8293
307,16.6667,73.23162157,-70,-61.38578781,250,82.6775
308,16.6667,202.6660802,-70,-64.31276729,250,109.8293
309,16.6667,32.0014432,-70,-62.56025374,250,64.4175
310,16.6667,116.8659179,-70,-61.99896379,250,144.1315
311,16.6667,22.77261864,-70,-62.92446589,250,118.7322
312,16.6667,2.912445017,-70,-62.92446589,250,118.7322
313,16.6667,125.8727298,-70,-61.99896379,250,144.1315
314,16.6667,14.38309523,-70,-72.09212516,250,156.3205
315,16.6667,61.73861826,-70,-62.56025374,250,64.4175
316,16.6667,22.02791659,-70,-62.92446589,250,118.7322
317,16.6667,38.26309374,-70,-61.99896379,250,144.1315
318,16.6667,38.26309374,-70,-61.99896379,250,144.1315
319,16.6667,20.45893782,-70,-62.57868264,250,82.6775
320,16.6667,61.04188071,-70,-62.92446589,250,118.7322
321,16.6667,116.5182202,-70,-62.92446589,250,118.7322
322,16.6667,161.2622446,-70,-65.58152638,250,118.2292
323,16.6667,14.60303392,-70,-62.92446589,250,118.7322
324,16.6667,122.6621103,-70,-73.07731367,250,109.8293
325,16.6667,90.4088272,-70,-62.03795533,250,82.6775
326,16.6667,163.0959387,-70,-65.58152638,250,118.2292
327,16.6667,90.4088272,-70,-62.03795533,250,82.6775
328,16.6667,22.02791659,-70,-62.92446589,250,118.7322
329,16.6667,163.0959387,-70,-65.58152638,250,118.2292
330,16.6667,38.26309374,-70,-61.99896379,250,144.1315
331,16.6667,122.6621103,-70,-73.07731367,250,109.8293
332,16.6667,22.77261864,-70,-62.92446589,250,118.7322
333,16.6667,167.6210843,-70,-65.58152638,250,118.2292
334,16.6667,250.1119855,-70,-64.31276729,250,109.8293
335,16.6667,125.1250082,-70,-61.99896379,250,144.1315
336,16.6667,61.89306079,-70,-63.95421694,250,82.6775
337,16.6667,165.0594893,-70,-65.58152638,250,118.2292
338,16.6667,116.8659179,-70,-61.99896379,250,144.1315
339,16.6667,219.2745766,-70,-64.31276729,250,109.8293
340,16.6667,1.259667491,-70,-46.06675265,250,85.9879
341,16.6667,38.26309374,-70,-61.99896379,250,144.1315
342,16.6667,33.27755295,-70,-63.99273923,250,82.6775
343,16.6667,29.32158503,-70,-63.17258776,250,82.6775
344,16.6667,29.32158503,-70,-63.17258776,250,82.6775
345,16.6667,165.0594893,-70,-65.58152638,250,118.2292
346,16.6667,38.26309374,-70,-61.99896379,250,144.1315
347,16.6667,202.6660802,-70,-64.31276729,250,109.8293
348,16.6667,90.4088272,-70,-62.03795533,250,82.6775
349,16.6667,1.253266121,-70,-76.35133133,250,125.271
350,16.6667,161.6052464,-70,-65.58152638,250,118.2292
351,16.6667,161.6052464,-70,-65.58152638,250,118.2292
352,16.6667,113.0700632,-70,-61.99896379,250,144.1315
353,16.6667,127.8113271,-70,-73.07731367,250,109.8293
354,16.6667,122.6621103,-70,-73.07731367,250,109.8293
355,16.6667,20.0575371,-70,-62.56025374,250,64.4175
356,16.6667,116.8659179,-70,-61.99896379,250,144.1315
357,16.6667,219.2745766,-70,-64.31276729,250,109.8293
358,16.6667,163.2613921,-70,-65.58152638,250,118.2292
359,16.6667,165.0594893,-70,-65.58152638,250,118.2292
360,16.6667,30.14049788,-70,-62.06317645,250,82.6775
361,16.6667,250.1119855,-70,-64.31276729,250,109.8293
362,16.6667,163.0959387,-70,-65.58152638,250,118.2292
363,16.6667,20.0575371,-70,-62.56025374,250,64.4175
364,16.6667,61.04188071,-70,-62.92446589,250,118.7322
365,16.6667,38.26309374,-70,-61.99896379,250,144.1315
366,16.6667,85.59092021,-70,-76.51568941,250,103.9506
367,16.6667,117.7589677,-70,-73.07731367,250,109.8293
368,16.6667,86.43443346,-70,-76.51568941,250,103.9506
369,16.6667,90.4088272,-70,-62.03795533,250,82.6775
370,16.6667,163.0959387,-70,-65.58152638,250,118.2292
371,16.6667,53.08111044,-70,-76.51568941,250,103.9506
372,16.6667,2.912445017,-70,-62.92446589,250,118.7322
373,16.6667,127.8113271,-70,-73.07731367,250,109.8293
374,16.6667,53.08111044,-70,-76.51568941,250,103.9506
375,16.6667,167.6210843,-70,-65.58152638,250,118.2292
376,16.6667,90.4088272,-70,-62.03795533,250,82.6775
377,16.6667,90.4088272,-70,-62.03795533,250,82.6775
378,16.6667,219.2745766,-70,-64.31276729,250,109.8293
379,16.6667,61.04188071,-70,-62.92446589,250,118.7322
380,16.6667,20.45893782,-70,-62.57868264,250,82.6775
381,16.6667,90.4088272,-70,-62.03795533,250,82.6775
382,16.6667,10.41951224,-70,-61.99896379,250,144.1315
383,16.6667,163.2613921,-70,-65.58152638,250,118.2292
384,16.6667,14.60303392,-70,-62.92446589,250,118.7322
385,16.6667,165.0594893,-70,-65.58152638,250,118.2292
386,16.6667,125.8727298,-70,-61.99896379,250,144.1315
387,16.6667,22.02791659,-70,-62.92446589,250,118.7322
388,16.6667,30.14049788,-70,-62.06317645,250,82.6775
389,16.6667,86.43443346,-70,-76.51568941,250,103.9506
390,16.6667,27.54039329,-70,-61.99896379,250,144.1315
391,16.6667,20.45893782,-70,-62.57868264,250,82.6775
392,16.6667,122.4629179,-70,-73.07731367,250,109.8293
393,16.6667,86.43443346,-70,-76.51568941,250,103.9506
394,16.6667,53.08111044,-70,-76.51568941,250,103.9506
395,16.6667,29.32158503,-70,-63.17258776,250,82.6775
396,16.6667,22.02791659,-70,-62.92446589,250,118.7322
397,16.6667,219.2745766,-70,-64.31276729,250,109.8293
398,16.6667,122.6621103,-70,-73.07731367,250,109.8293
399,16.6667,61.04188071,-70,-62.92446589,250,118.7322
400,16.6667,102.0462732,-70,-76.51568941,250,103.9506
401,16.6667,161.6052464,-70,-65.58152638,250,118.2292
402,16.6667,61.89306079,-70,-63.95421694,250,82.6775
403,16.6667,127.8113271,-70,-73.07731367,250,109.8293
404,16.6667,165.0594893,-70,-65.58152638,250,118.2292
405,16.6667,5.622951643,-70,-76.30489455,250,50.0441
406,16.6667,14.60303392,-70,-62.92446589,250,118.7322
407,16.6667,127.8113271,-70,-73.07731367,250,109.8293
408,16.6667,38.26309374,-70,-61.99896379,250,144.1315
409,16.6667,73.23162157,-70,-61.38578781,250,82.6775
410,16.6667,163.0959387,-70,-65.58152638,250,118.2292
411,16.6667,32.0014432,-70,-62.56025374,250,64.4175
412,16.6667,2.199479896,-70,-62.92446589,250,118.7322
413,16.6667,61.73861826,-70,-62.56025374,250,64.4175
414,16.6667,73.23162157,-70,-61.38578781,250,82.6775
415,16.6667,15.74857968,-70,-70.22107908,250,156.3205
416,16.6667,109.0303538,-70,-61.99896379,250,144.1315
417,16.6667,10.41951224,-70,-61.99896379,250,144.1315
418,16.6667,53.08111044,-70,-76.51568941,250,103.9506
419,16.6667,167.6210843,-70,-65.58152638,250,118.2292
420,16.6667,118.2830004,-70,-73.07731367,250,109.8293
421,16.6667,27.54039329,-70,-61.99896379,250,144.1315
422,16.6667,22.02791659,-70,-62.92446589,250,118.7322
423,16.6667,40.15623048,-70,-62.92446589,250,118.7322
424,16.6667,61.73861826,-70,-62.56025374,250,64.4175
425,16.6667,22.02791659,-70,-62.92446589,250,118.7322
426,16.6667,2.912445017,-70,-62.92446589,250,118.7322
427,16.6667,86.43443346,-70,-76.51568941,250,103.9506
428,16.6667,125.8727298,-70,-61.99896379,250,144.1315
429,16.6667,27.54039329,-70,-61.99896379,250,144.1315
430,16.6667,122.4629179,-70,-73.07731367,250,109.8293
431,16.6667,98.17954815,-70,-61.99896379,250,144.1315
432,16.6667,214.6375496,-70,-64.31276729,250,109.8293
433,16.6667,14.60303392,-70,-62.92446589,250,118.7322
434,16.6667,73.23162157,-70,-61.38578781,250,82.6775
435,16.6667,163.0959387,-70,-65.58152638,250,118.2292
436,16.6667,61.73861826,-70,-62.56025374,250,64.4175
437,16.6667,214.6375496,-70,-64.31276729,250,109.8293
438,16.6667,167.6210843,-70,-65.58152638,250,118.2292
439,16.6667,2.912445017,-70,-62.92446589,250,118.7322
440,16.6667,61.04188071,-70,-62.92446589,250,118.7322
441,16.6667,163.0959387,-70,-65.58152638,250,118.2292
442,16.6667,10.41951224,-70,-61.99896379,250,144.1315
443,16.6667,12.12269387,-70,-70.24042295,250,156.3205
444,16.6667,2.199479896,-70,-62.92446589,250,118.7322
445,16.6667,29.32158503,-70,-63.17258776,250,82.6775
446,16.6667,127.9576928,-70,-73.07731367,250,109.8293
447,16.6667,90.4088272,-70,-62.03795533,250,82.6775
448,16.6667,90.4088272,-70,-62.03795533,250,82.6775
449,16.6667,163.2613921,-70,-65.58152638,250,118.2292
450,16.6667,163.0959387,-70,-65.58152638,250,118.2292
451,16.6667,2.199479896,-70,-62.92446589,250,118.7322
452,16.6667,11.65139394,-70,-50.0,250,194.5705
453,16.6667,102.0462732,-70,-76.51568941,250,103.9506
454,16.6667,90.4088272,-70,-62.03795533,250,82.6775
455,16.6667,116.5182202,-70,-62.92446589,250,118.7322
456,16.6667,32.0014432,-70,-62.56025374,250,64.4175
457,16.6667,122.4629179,-70,-73.07731367,250,109.8293
458,16.6667,102.0462732,-70,-76.51568941,250,103.9506
459,16.6667,214.6375496,-70,-64.31276729,250,109.8293
460,16.6667,219.2745766,-70,-64.31276729,250,109.8293
461,16.6667,89.20470583,-70,-61.99896379,250,144.1315
462,16.6667,20.0575371,-70,-62.56025374,250,64.4175
